title,record_ids,authors_list,repeat_count
A RIS-Based Vehicle DOA Estimation Method With Integrated Sensing and Communication System,"['rec_00037', 'rec_00454']","['Zhimin Chen, Peng Chen, Ziyu Guo, Yudong Zhang, Xianbin Wang', 'Zhimin Chen, Peng Chen, Ziyu Guo, Yudong Zhang, Xianbin Wang']",2
Beamforming in Hybrid RIS assisted Integrated Sensing and Communication Systems,"['rec_00114', 'rec_00287']","['R S Prasobh Sankar, Sundeep Prabhakar Chepuri', 'R. Sankar, S. Chepuri']",2
Circular RIS-Enabled Channel Estimation and Localization for Multi-User ISAC Systems,"['rec_00103', 'rec_00463']","['Yuxing Lin, Shi Jin, Xinping Yi, Michail Matthaiou', 'Yuxing Lin, Shi Jin, M. Matthaiou, Xinping Yi']",2
Enhancing Battlefield Awareness: An Aerial RIS-assisted ISAC System with Deep Reinforcement Learning,"['rec_00112', 'rec_00377']","['Hyunsang Cho, Seonghoon Yoo, Bang Chul Jung, Joonhyuk Kang', 'Hyunsang Cho, Seonghoon Yoo, Bang Chul Jung, Joonhyuk Kang']",2
Fully Autonomous Reconfigurable Metasurfaces with Integrated Sensing and Communication,"['rec_00110', 'rec_00312']","['Hamidreza Taghvaee, Maryam Khodadadi, Gabriele Gradoni, Mohsen Khalily', 'Hamidreza Taghvaee, Maryam Khodadadi, G. Gradoni, Mohsen Khalily']",2
Hybrid NOMA Assisted Integrated Sensing and Communication via RIS,"['rec_00100', 'rec_00282']","['Wanting Lyu, Yue Xiu, Xinyang Li, Songjie Yang, Phee Lep, Yonghui Li, Zhongpei Zhang, Wei Xiang', 'Wanting Lyu, Yue Xiu, Xinyang Li, Songjie Yang, Phee Lep Yeoh, Yonghui Li, Zhongpei Zhang']",2
"Joint Beamforming for RIS-Assisted Integrated Communication, Sensing and Power Transfer Systems","['rec_00099', 'rec_00591']","['Yue Yang, Hui Gao, Xiaoyu Yang, Ruohan Cao, Yongjian Fan', 'Yue Yang, Hui Gao, Xiaoyu Yang, Ruohan Cao, Yongjian Fan']",2
Joint Beamforming for RIS-Assisted Integrated Sensing and Communication Systems,"['rec_00101', 'rec_00307']","['Yongqing Xu, Yong Li, J Andrew Zhang, Marco Di Renzo, Tony Q S Quek', 'Graduate Student Member Ieee Yongqing Xu, Member Ieee Yong Li, S. M. I. J. Andrew Zhang, Fellow Ieee Marco Di Renzo, F. I. Tony Q. S. Quek, Li']",2
Joint Localization and Information Transfer for RIS Aided Full-Duplex Systems,"['rec_00111', 'rec_00426']","['Zhichao Shao, Xiaojun Yuan, Wei Zhang, Marco Di Renzo', 'Z. Shao, Xiaojun Yuan, W. Zhang, M. Di Renzo']",2
Joint Resource Allocation and Reflecting Precoding Design for RIS-Assisted ISAC Systems,"['rec_00054', 'rec_00565']","['Xiaohui Li, Hong Wang, Yunpei Chen, Shuran Sheng', 'Xiaohui Li, Hong Wang, Yunpei Chen, Shuran Sheng']",2
Joint Waveform and Phase Shift Design for RIS-Assisted Integrated Sensing and Communication Based on Mutual Information,"['rec_00021', 'rec_00288']","['Hongliang Zhang', 'Hongliang Zhang']",2
Nested Tensor-Based Framework for ISAC Assisted by Reconfigurable Intelligent Surface,"['rec_00098', 'rec_00364']","['Yua Chen, Jianhe Du, Jianbo Liu, Libiao Jin, Xingwa Li, Daniel Benevides,  Costa, Yuan Cheng', 'Yuan Cheng, Jianhe Du, Jianbo Liu, Libiao Jin, Xingwang Li, D. B. da Costa']",2
