Publication,Title,Count,Date,Time,Source,Type,Query,DateRange,SearchCount,Note
IEEE Transactions on Wireless Communications,"['Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array: Performance Metric and Optimal Beamforming', 'Optical Wireless Integrated Sensing and Communication Based on EADO-OFDM: A Flexible Resource Allocation Perspective', 'Optical Integrated Sensing and Communication System Based on Combination of OIRS and PD Array for Mobile Scenarios', 'Opportunistic Reuse of Spatial-Temporal Resources in Multi-User ISAC Systems for Value of Service Maximization', 'Joint beamforming and UAV trajectory optimization for covert communications in ISAC networks']",5,,,,,,,
Journal of Lightwave Technology,"['Fully integrated FMCW LiDAR optical engine on a single silicon chip', 'Hybrid integrated frequency-modulated continuous-wave laser with synchronous tuning', 'Compact optical beamforming chip using broadband continuously tunable delay lines', 'Microring optical phase-shifters with low driving-voltage, low insertion loss, and small residual amplitude modulation']",4,,,,,,,
IEEE Photonics Technology Letters,"['Bidirectional retroreflective optical ISAC using time division duplexing and clipped OFDM', 'Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design', 'Co-existence of SiPh sensing link and Real World Traffic over 100 m FSO link for 6G deployments']",3,,,,,,,
IEEE Journal of Selected Topics in Quantum Electronics,"['Large-scale and broadband silicon nitride optical phased arrays', 'Indium phosphide photonic integrated circuit transceiver for FMCW LiDAR', 'Avalanche photodiodes with dual multiplication layers and ultra-high responsivity-bandwidth products for FMCW LiDAR system applications']",3,,,,,,,
IEEE Internet of Things Journal,"['Free space optical integrated sensing and communication based on DCO-OFDM: performance metrics and resource allocation', 'Optical integrated sensing and communication with light-emitting diode', 'PAM waveform design for joint communication and sensing based on visible light']",3,,,,,,,
Optics Express,"['Phase-locked arrays of surface-emitting graded-photonic-heterostructure terahertz semiconductor lasers', 'Sub-100-nm precision distance measurement by means of all-fiber photonic microwave mixing', 'Directly modulated optical negative feedback lasers for long-range FMCW LiDAR']",3,,,,,,,
2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),"['Retroreflective optical ISAC supporting 3D positioning in indoor environments', 'Phase-Coded FMCW for Optical Integrated Sensing and Communication']",2,,,,,,,
IEEE Communications Letters,"['Free space optical integrated sensing and communication based on LFM and CPM', 'Pulse sequence sensing and pulse position modulation for optical integrated sensing and communication']",2,,,,,,,
Applied Sciences,"['Optical beamforming networks for millimeter-wave wireless communications', 'Road infrastructure challenges faced by automated driving: a review']",2,,,,,,,
Optica,"['Linear programmable nanophotonic processors', 'High-gain optical parametric amplification with a continuous-wave pump using a domain-engineered thin-film lithium niobate waveguide']",2,,,,,,,
Near-Earth Laser Communications, Second Edition,['Near-earth laser communications'],1,,,,,,,
Laser Recording and Information Handling Technology I,['Laser scanning techniques'],1,,,,,,,
Light: Science & Applications,"['Physical twinning for joint encoding-decoding optimization in computational optics: a review']",1,,,,,,,
Micromachines,"['Beam steering technology of optical phased array based on silicon photonic integrated chip']",1,,,,,,,
Molecules,"['Progress in luminescent materials based on europium (III) complexes of β-diketones and organic carboxylic acids']",1,,,,,,,
Nature Communications,"['Photonic-electronic integrated circuit-based coherent LiDAR engine']",1,,,,,,,
