record_id,title,authors,year,venue,doi,url,citation,pub_type,peer_reviewed
rec_00702,1- bit Reconfigurable Intelligent Surface for Single-and Multi-beam Steering Applications,"Deepak, Akhila Gouda, Saptarshi Ghosh",2025,"2025 Third International Conference on Microwave, Antenna and Communication (MAC)",10.1109/MAC64480.2025.11140492,https://doi.org/10.1109/MAC64480.2025.11140492,,,
rec_00158,"1000-Channel Integrated Optical Phased Array with 180° Field of View, High Resolution and High Scalability","Yong Liu, Xiansong Meng",-,,arXiv:2508.19977,-,,,
rec_00585,2-Bit RIS Prototyping Enhancing Rapid-Response Space-Time Wavefront Manipulation for Wireless Communication: Experimental Studies,"Yufei Zhao, Yuan Feng, Afkar Mohamed Ismail, Ziyue Wang, Y. L. Guan, Yongxin Guo, Chau Yuen",2024,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2024.3439558,https://doi.org/10.1109/OJCOMS.2024.3439558,,,
rec_00040,6G INTEGRATED SENSING AND COMMUNICATION -SENSING ASSISTED ENVIRONMENTAL RECONSTRUCTION AND COMMUNICATION,"Zhi Zhou, Xianjin Li, Jia He, Xiaoyan Bi, Yan Chen, Guangjian Wang, Peiying Zhu",-,,10.1109/icassp49357.2023.10096544,-,,,
rec_00033,A Beam-scannable photonic THz-ISAC system based on Risley prisms,"Zhidong Lyu, Lu Zhang, Hongqi Zhang, Zuomin Yang, Hang Yang, Changming Zhang, Vjačeslavs Bobrovs, Xiaodan Pang, Oskars Ozolins, Xianbin Yu",-,,10.1109/acp/poem59049.2023.10368958,-,,,
rec_00017,A Cluster-Based Statistical Channel Model for Integrated Sensing and Communication Channels,"Zhengyu Zhang, Ruisi He, Bo Ai, Mi Yang, Yong Niu, Zhangdui Zhong, Yujian Li, Xuejian Zhang, Jing Li",2024,,10.1109/twc.2024.3383594,-,,,
rec_00064,A Computational Signal Algebra Framework for Microwave Photonics Radar Integrated Sensing and Communications,"Cesar Aceros, Juan Valera, Yvonne Aviles, Domingo Rodriguez",-,,10.1109/icaccs60874.2024.10716942,-,,,
rec_00120,"A contemporary survey on free space optical communication: Potentials, technical challenges, recent advances and research direction","Abu Jahid, Mohammed H Alsharif, Trevor J Hall",2022,,10.1016/j.jnca.2021.103311,-,,,
rec_00604,A Deep Reinforcement Learning Framework for Joint Bs and Beyond Diagonal Ris Beamforming Design in Isac Systems,"M. Rahimi, S. Sobhi-Givi, M. Nouri, H. Behroozi, Murat Uysal",2025,Iran Workshop on Communication and Information Theory,10.1109/IWCIT67595.2025.11073027,https://doi.org/10.1109/IWCIT67595.2025.11073027,,,
rec_00398,A Dual-Function Radar-Communication System Empowered by Beyond Diagonal Reconfigurable Intelligent Surface,"Bowen Wang, Hongyu Li, Shanpu Shen, Ziyang Cheng, B. Clerckx",2023,IEEE Transactions on Communications,10.1109/TCOMM.2024.3447917,https://doi.org/10.1109/TCOMM.2024.3447917,,,
rec_00612,A Dynamic Subarray Structure in Reconfigurable Intelligent Surfaces for TeraHertz Communication Systems,"Yicong Liu, Weijie Li, Zihuai Lin",2022,IEEE Conference on Standards for Communications and Networking,10.1109/CSCN57023.2022.10051051,https://doi.org/10.1109/CSCN57023.2022.10051051,,,
rec_00096,A Feasibility Study on Integrated Sensing and Communication in Cooperative Network,"Xia Shen, Hujun Li, Yuan Wang, Zhiqing Wei, Zhiyong Feng, Zhiqin Wang",-,,10.1109/wocc55104.2022.9880583,-,,,
rec_00372,A Multi-Functional Reconfigurable Intelligent Surface with Integrated Sensing Capability,"M. B. Sahin, O. Civi",2024,2024 IEEE International Symposium on Antennas and Propagation and INC/USNC‐URSI Radio Science Meeting (AP-S/INC-USNC-URSI),10.1109/AP-S/INC-USNC-URSI52054.2024.10686983,https://doi.org/10.1109/AP-S/INC-USNC-URSI52054.2024.10686983,,,
rec_00048,A Novel Geometry-Based Stochastic Channel Model in Integrated Sensing and Communication Scenarios,"Yunwei Jin, Bo Ai, Haoxiang Zhang, Bincheng Liu, Yujian Li, Jing Li, Ruisi He, Tong Wu",2024,,10.1109/lwc.2024.3401482,-,,,
rec_00473,A Novel Reconfigurable Intelligent Surface for Wide-Angle Passive Beamforming,"Junhui Rao, Yujie Zhang, Shiwen Tang, Zan Li, Shanpu Shen, Chi-Yuk Chiu, R. Murch",2022,IEEE transactions on microwave theory and techniques,10.1109/TMTT.2022.3195224,https://doi.org/10.1109/TMTT.2022.3195224,,,
rec_00213,A Photonics-Aided Integrated Sensing and Communication System in the W-Band Based on Integrated Waveforms,"Wenzhong He, Wen Zhou, Jiaxuan Liu, Xiongwei Yang, Yi Wei, Kaihui Wang, Jianjun Yu",-,"Wen and yu, jianjun, A Photonics-Aided Integrated Sensing and Communication System in the W-Band Based on Integrated Waveforms",10.2139/ssrn.4591576,-,,,
rec_00093,A Photonics-Assisted D-Band ISAC System Based on A Time-Frequency Efficient Waveform,"Junhao Zhang, Qing Zhong, Yuancheng Cai, Mingzheng Lei, Jiao Zhang, Xingyu Chen, Hao Li, Zhennan Zheng, Jianjun Yu, Qingzhi Zhou, Bingchang Hua, Min Zhu",-,,10.1109/acp/ipoc63121.2024.10809716,-,,,
rec_00666,A Real-Time Antenna Selection Approach in an RIS-Assisted MIMO Radar,"A. Ajorloo, F. Colone",2025,International Radar Symposium,10.23919/irs64527.2025.11046119,https://doi.org/10.23919/irs64527.2025.11046119,,,
rec_00385,A Reconfigurable Intelligent Surface Aided Dual-Function Radar and Communication System,"Shucheng Yan, Shu Cai, Wenchao Xia, Jun Zhang, Shuqiang Xia",2022,International Symposium on Joint Communications & Sensing,10.1109/JCS54387.2022.9743509,https://doi.org/10.1109/JCS54387.2022.9743509,,,
