Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Cascaded Path Realized (OPA→RIS),"Reasoning for ""Cascaded Path Realized (OPA→RIS)""",Comparators/Baselines Reported,"Reasoning for ""Comparators/Baselines Reported""","Key Physics Specified (λ, distance, aperture)","Reasoning for ""Key Physics Specified (λ, distance, aperture)""",OPA Present (optical phased array),"Reasoning for ""OPA Present (optical phased array)""",Optical Domain (not RF),"Reasoning for ""Optical Domain (not RF)""",Optical RIS/Metasurface Present,"Reasoning for ""Optical RIS/Metasurface Present""",Free-Space Optical Systems,"Reasoning for ""Free-Space Optical Systems""",ISAC Applications,"Reasoning for ""ISAC Applications""",Non-Line-of-Sight Scenarios,"Reasoning for ""Non-Line-of-Sight Scenarios""",OPA-RIS Cascaded Architecture,"Reasoning for ""OPA-RIS Cascaded Architecture""",Quantitative Performance Metrics,"Reasoning for ""Quantitative Performance Metrics""",Substantial Technical Content,"Reasoning for ""Substantial Technical Content""",Turbulent Channel Conditions,"Reasoning for ""Turbulent Channel Conditions""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
"Integrated Sensing and Communication with Reconfigurable Intelligent Surfaces: Opportunities, Applications, and Future Directions","Rang Liu, Ming Li, Honghao Luo, Qian Liu, A. L. Swindlehurst",10.1109/MWC.002.2200206,https://doi.org/10.1109/MWC.002.2200206,IEEE wireless communications,122,2022,-,no,The abstract does not discuss any cascaded paths or OPA→RIS configurations.,yes,"The abstract mentions comparing performance with and without RIS, suggesting some baseline comparisons.",no,"The abstract does not provide any information about wavelength, propagation distance, or aperture size.",no,The abstract does not mention the use of optical phased arrays.,no,"The abstract suggests the work is in the wireless/Radio Frequency (RF) domain rather than the optical domain, as it discusses wireless propagation and spectrum congestion.",no,"While the abstract discusses RIS, it is in the context of wireless propagation, not optical metasurfaces.",no,The paper appears to focus on wireless systems rather than free-space optical systems.,yes,The paper explicitly focuses on Integrated Sensing and Communication (ISAC) applications.,no,The abstract does not mention any non-line-of-sight (NLoS) scenarios.,no,"The abstract does not mention Optical Phased Arrays (OPAs) or cascaded configurations with Reconfigurable Intelligent Surfaces (RIS), indicating that this study does not investigate OPA-RIS cascaded architectures.",maybe,"The abstract mentions ""performance"" but does not explicitly state any specific quantitative performance metrics.",yes,"The paper appears to be a technical review/analysis with substantial content, including case studies.",no,The abstract does not mention any atmospheric turbulence or channel conditions.,Exclude,"The abstract focuses on wireless Integrated Sensing and Communication (ISAC) and Reconfigurable Intelligent Surfaces (RIS), but lacks critical elements related to optical systems, optical phased arrays, and free-space optical configurations. Despite addressing ISAC applications and providing some technical insights, the paper fundamentally fails to meet the core screening criteria for optical domain research, particularly those involving optical phased arrays and metasurfaces.",1.4
Integrated Sensing and Communications With Reconfigurable Intelligent Surfaces: From signal modeling to processing,"S. Chepuri, Nir Shlezinger, F. Liu, G. C. Alexandropoulos, S. Buzzi, Y. Eldar",10.1109/MSP.2023.3279986,https://doi.org/10.1109/MSP.2023.3279986,IEEE Signal Processing Magazine,72,2022,-,no,The abstract does not discuss OPA→RIS cascaded paths.,yes,"The abstract mentions comparing joint S&C designs with individual gains, suggesting some comparative analysis.",maybe,"The abstract does not provide specific wavelengths or distances, though it mentions frequency bands.",no,The abstract does not mention optical phased arrays.,no,"The abstract explicitly focuses on mm-wave and THz frequency bands, not optical wavelengths.",no,"While RIS is discussed, it is in the context of RF/mmWave, not optical metasurfaces.",no,"The paper focuses on wireless systems but in RF/mmWave, not optical.",yes,The paper explicitly focuses on ISAC applications.,no,"While propagation environments are mentioned, NLoS scenarios are not explicitly discussed.",no,The abstract does not mention optical phased arrays or their cascaded configuration with reconfigurable intelligent surfaces (RIS).,no,"While the abstract mentions ""performance,"" it does not explicitly state specific metrics.",maybe,"The paper appears to be a tutorial-style overview with technical content, though it is not clear if it includes experimental or simulation results.",no,The abstract does not mention atmospheric turbulence parameters.,Exclude,"The research focuses on mm-wave and terahertz frequency bands for integrated sensing and communication systems, utilizing reconfigurable intelligent surfaces in a wireless context. Despite addressing ISAC applications, the study fundamentally operates in radio frequency domains rather than optical wavelengths, failing key screening criteria related to optical phased arrays, metasurfaces, and free-space optical systems. Consequently, the work does not align with the specified technical requirements for optical communication research.",1.4
RIS-assisted Integrated Sensing and Communications: A Subspace Rotation Approach: Invited Paper,"Xiao Meng, F. Liu, Shih-Jung Lu, S. Chepuri, C. Masouros",10.1109/RadarConf2351548.2023.10149664,https://doi.org/10.1109/RadarConf2351548.2023.10149664,International Radar Conference,24,2022,-,no,The abstract does not describe a cascaded OPA→RIS configuration.,yes,The abstract mentions a benchmark scheme for comparison.,no,The abstract does not provide any specific physical parameters like wavelength or distances.,no,"The abstract does not explicitly mention optical phased arrays. The ""active beamforming"" mentioned could be RF-based.",no,"The abstract does not specify whether the system operates in the optical domain. There is no mention of wavelengths, lasers, or optical components.",no,"While RIS is mentioned, there is no specification that it is an optical RIS or metasurface.",no,The abstract does not specify whether this is for free-space optical systems.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,Non-line-of-sight scenarios are not mentioned in the abstract.,maybe,"The abstract does not specifically mention optical phased arrays or a cascaded configuration. It discusses joint active and passive beamforming, but this appears to be in a general context rather than an OPA-RIS cascaded architecture.",yes,The abstract mentions SNR as a performance metric.,yes,This appears to be a technical paper with theoretical analysis and numerical simulations.,no,There is no mention of atmospheric turbulence or channel conditions.,Include,"The abstract describes an integrated sensing and communication system using reconfigurable intelligent surfaces, but lacks specific evidence of an optical domain implementation with optical phased arrays. Critical screening criteria related to optical wavelength, cascaded architecture, and free-space optical systems are not addressed, suggesting the work may be a general RIS-assisted communication study rather than a focused optical research paper.",2.5
Joint Waveform and Phase Shift Design for RIS-Assisted Integrated Sensing and Communication Based on Mutual Information,Hongliang Zhang,10.1109/LCOMM.2022.3195062,https://doi.org/10.1109/LCOMM.2022.3195062,IEEE Communications Letters,52,2022,-,no,"While there is a RIS system, it is not in an optical cascaded configuration.",maybe,The abstract mentions performance improvements but does not explicitly detail baselines.,no,The abstract does not mention wavelength or specific physical parameters.,no,The abstract does not mention optical phased arrays.,no,"The abstract discusses ""wireless propagation"" and appears to be in the RF domain, not the optical domain.",no,"While RIS is present, it is clearly in the RF domain, not the optical domain.",no,"The system appears to be RF-based wireless communication, not free-space optical.",yes,The paper explicitly focuses on ISAC applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,The abstract does not mention Optical Phased Arrays (OPAs) or a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). It appears to be about RF-based RIS systems instead.,yes,The abstract mentions data rate and mutual information as metrics.,yes,The paper appears to be a technical paper with optimization algorithms and simulations.,no,The abstract does not mention atmospheric conditions or turbulence parameters.,Exclude,"The research focuses on RF-based wireless communication systems using reconfigurable intelligent surfaces (RIS) for integrated sensing and communication, which fundamentally differs from optical domain requirements. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the study non-compliant with the specified technical parameters. Despite addressing ISAC applications and demonstrating technical depth, the core optical system specifications are absent.",1.4
Passive Versus Active Reconfigurable Intelligent Surfaces for Integrated Sensing and Communication: Challenges and Opportunities,"Mohamed Rihan, Alessio Zappone, Stefano Buzzi, Gábor Fodor, M. Debbah",10.1109/MNET.2023.3321542,https://doi.org/10.1109/MNET.2023.3321542,IEEE Network,11,2024,-,no,There is no discussion of OPA→RIS cascaded paths.,yes,The abstract mentions comparing active vs. passive RISs.,no,"The abstract does not mention any specific wavelengths, distances, or aperture sizes.",no,There is no mention of optical phased arrays. The focus is entirely on RF RIS systems.,no,"The paper clearly focuses on wireless (RF) communications and radar systems, not optical domain applications.",no,"While RISs are discussed, they are RF-based, not optical metasurfaces.",no,"The paper focuses on wireless RF systems, not free-space optical systems.",yes,The paper explicitly focuses on ISAC applications.,maybe,There is no explicit mention of NLoS scenarios.,no,"The abstract does not mention Optical Phased Arrays (OPAs) or their cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on wireless (RF) RIS applications.",maybe,"The abstract mentions ""numerical examples"" but doesn't specify which metrics are used.",yes,The paper appears to be a comprehensive review with numerical examples and technical analysis.,no,There is no mention of atmospheric turbulence or related parameters.,Exclude,"The research focuses exclusively on wireless RF systems and reconfigurable intelligent surfaces, completely missing the required optical domain criteria. Critical screening requirements related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the paper unsuitable for the specified research parameters. Despite addressing ISAC applications and demonstrating substantial technical content, the fundamental mismatch with optical system requirements disqualifies the study.",0.1
"A Survey on Integrated Sensing and Communication with Intelligent Metasurfaces: Trends, Challenges, and Opportunities","Ahmed Magbool, Vaibhav Kumar, Qingqing Wu, M. D. Renzo, M. Flanagan",10.48550/arXiv.2401.15562,https://doi.org/10.48550/arXiv.2401.15562,arXiv.org,29,2024,-,no,"The abstract mentions metasurfaces as ""separate entities placed between the transmitter and receiver,"" but this is in a general context, not specifically an OPA→RIS cascaded configuration.",maybe,"As a survey paper, it likely includes comparisons, but these are not explicitly mentioned in the abstract.",no,"The abstract does not provide any specific physical parameters like wavelength, distance, or aperture size.",no,"The abstract does not mention optical phased arrays. The paper discusses metasurfaces in general terms, without indicating they are specifically optical.",no,"The abstract does not specify the wavelength domain, and the context suggests the paper is focused on RF/microwave applications rather than the optical regime.",no,"While metasurfaces are discussed extensively, there is no indication these are specifically optical metasurfaces. The context suggests the focus is on RF/microwave applications.",no,The abstract does not mention free-space optical systems. The focus appears to be on general wireless communication.,yes,The abstract indicates that the primary focus of the paper is on integrated sensing and communication (ISAC) applications.,no,The abstract does not explicitly mention non-line-of-sight (NLoS) optical communication scenarios.,no,"The abstract does not specifically mention optical phased arrays or their cascaded configuration with reconfigurable intelligent surfaces (RIS). The focus appears to be on general wireless communication and radar applications, rather than optical systems.",no,"The abstract does not mention specific performance metrics, though as a survey it may include them in the full text.",yes,The abstract suggests this is a comprehensive survey paper with substantial technical content.,no,The abstract does not mention atmospheric turbulence or channel conditions.,Exclude,"The survey paper focuses on metasurface-assisted integrated sensing and communication (ISAC) in wireless communication systems, primarily addressing RF/microwave applications rather than optical domains. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, indicating the research does not align with the specified technical requirements. While comprehensive in its ISAC coverage, the paper lacks the specific optical and technical parameters necessary for inclusion.",1.4
Beamforming in Integrated Sensing and Communication Systems With Reconfigurable Intelligent Surfaces,"Student Member Ieee R.S. Prasobh Sankar, Member Ieee Sundeep Prabhakar Chepuri, F. I. Yonina C. Eldar",10.1109/TWC.2023.3313938,https://doi.org/10.1109/TWC.2023.3313938,IEEE Transactions on Wireless Communications,71,2022,-,no,"While the paper discusses RIS-assisted systems, it's not specifically about OPA→RIS cascading.",yes,The paper compares single-RIS vs dual-RIS configurations and evaluates against desired SINR baselines.,no,"The abstract does not mention wavelength, propagation distance, or aperture sizes.",no,No mention of optical phased arrays. The system appears to be a general beamforming system rather than one using an optical phased array.,no,The abstract does not specify the frequency domain or mention optical components. The context suggests this is likely an RF system study rather than one in the optical domain.,no,"While RIS is present, there's no indication it's an optical RIS. The context suggests RF implementation rather than an optical RIS/metasurface.",no,The abstract doesn't specify if this is free-space optical or another type of system.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) systems.,yes,"The abstract mentions scenarios ""when the users and targets are not directly visible,"" indicating the study examines non-line-of-sight scenarios.",no,The paper discusses RIS-assisted systems but does not specifically mention optical phased arrays. It appears to be a general RIS system study rather than one focused on OPA-RIS cascaded architecture.,yes,The study reports SINR and target illumination power metrics.,yes,"This appears to be a detailed technical study with optimization problems and numerical simulations, indicating substantial technical content.",no,No mention of atmospheric turbulence or channel conditions.,Exclude,"The study appears to be an RF-based RIS-assisted ISAC system research without optical components, lacking specific optical parameters like wavelength or aperture size. While demonstrating strong technical content with quantitative performance metrics and non-line-of-sight scenarios, the work does not meet the optical domain screening criteria. The absence of optical phased arrays, optical RIS, and optical physics specifications renders the paper non-compliant with the systematic review's optical focus.",1.4
RIS-Aided Integrated Sensing and Communication: Joint Beamforming and Reflection Design,"Honghao Luo, Rang Liu, Ming Li, Qian Liu",10.1109/TVT.2023.3248657,https://doi.org/10.1109/TVT.2023.3248657,IEEE Transactions on Vehicular Technology,55,2023,-,no,"While there is a RIS system, it's not in a cascaded configuration with an OPA.",yes,"Yes, the abstract mentions comparing performance with and without RIS deployment.",no,"The abstract doesn't mention wavelength, propagation distance, or aperture size.",no,No mention of optical phased arrays. The system uses multi-antenna base stations which are typically RF-based.,no,"No indication of optical domain work. The context suggests RF/mmWave systems given the mention of ""wireless propagation environment"" and multi-antenna base stations.",no,"While RIS is present, it's not specified as an optical RIS. The context suggests it's an RF RIS.",no,No indication of free-space optical systems. The context suggests RF wireless systems.,yes,"Yes, this is explicitly an ISAC study.",no,Not explicitly mentioned in the abstract.,no,The abstract discusses RIS in an ISAC system but does not mention optical phased arrays. It appears to be focused on RF systems with multi-antenna base stations.,yes,"Yes, the study mentions SNR and QoS metrics.",yes,"Yes, this appears to be a substantial technical study with optimization algorithms and simulation results.",no,No mention of atmospheric turbulence parameters.,Exclude,"The study focuses on RF/mmWave systems with reconfigurable intelligent surfaces (RIS) in an integrated sensing and communication (ISAC) context, lacking optical domain characteristics. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the paper unsuitable for the specified research domain. While technically substantive, the work fundamentally diverges from the optical system requirements.",1.4
Joint Active and Passive Beamforming Design for Reconfigurable Intelligent Surface Enabled Integrated Sensing and Communication,"Zhe Xing, Rui Wang, Xiaojun Yuan",10.1109/TCOMM.2023.3244246,https://doi.org/10.1109/TCOMM.2023.3244246,IEEE Transactions on Communications,59,2022,-,no,No cascaded path is mentioned in the abstract. The system appears to be a single-hop RIS-enabled communication system rather than a cascaded OPA-RIS configuration.,yes,"The abstract mentions ""comparison with several existing benchmarks"" and discusses trade-offs, indicating that the study reports comparators or baselines.",no,"The abstract does not provide any information about wavelength, propagation distance, or aperture size.",no,There is no mention of optical phased arrays in the abstract. The system appears to use general beamforming without specific OPA components.,no,The abstract does not specify the frequency domain or mention any optical components. The context suggests this is likely an RF-based study rather than an optical domain study.,no,"While RIS is present, there is no indication that it is an optical metasurface. The discussion of beamforming suggests an RF implementation rather than an optical RIS/metasurface.",no,There is no indication in the abstract that the study focuses on free-space optical systems. The context suggests an RF communication system rather than a free-space optical system.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,The abstract does not mention optical phased arrays or a cascaded configuration with reconfigurable intelligent surfaces (RIS). The study appears to be focused on a general RIS-enabled system rather than a specific OPA-RIS cascaded architecture.,yes,The study reports quantitative performance metrics such as SNR and detection probability.,yes,"This is a detailed technical study with optimization algorithms, mathematical analysis, and simulations, indicating substantial technical content.",no,The abstract does not mention any atmospheric turbulence or channel conditions.,Exclude,"The study focuses on a reconfigurable intelligent surface (RIS) system for integrated sensing and communication, but lacks specific optical domain characteristics such as wavelength, optical phased arrays, or free-space optical components. While technically rigorous with quantitative performance metrics and ISAC applications, the research appears to be an RF-based system that does not meet the optical-specific screening criteria.",1.4
Location Awareness in Beyond 5G Networks via Reconfigurable Intelligent Surfaces,"Ziyi Wang, Zhenyu Liu, Yuan Shen, A. Conti, M. Win",10.1109/jsac.2022.3155542,https://doi.org/10.1109/jsac.2022.3155542,IEEE Journal on Selected Areas in Communications,98,2022,-,no,The paper does not discuss OPA→RIS cascaded paths.,yes,The paper compares CIS vs DIS and discusses performance improvements.,no,The abstract mentions SNR and spectral efficiency but does not specify wavelengths or physical parameters.,no,The paper does not mention optical phased arrays.,no,"The paper is about wireless networks, not optical systems. There is no mention of optical wavelengths, lasers, or optical components.",no,"While RISs are discussed, they are in the context of wireless networks, not optical metasurfaces.",no,"The paper is about wireless networks, not optical systems.",yes,The paper explicitly focuses on ISAC applications.,no,The paper does not explicitly mention non-line-of-sight scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on wireless networks and general RIS concepts.",yes,"The paper mentions SNR, spectral efficiency, and localization accuracy as quantitative performance metrics.",yes,"The paper appears to be a theoretical analysis with substantial technical content, including signal models and performance analysis.",no,The paper does not mention atmospheric conditions or turbulence.,Exclude,"The research focuses on wireless network ISAC systems using reconfigurable intelligent surfaces, but lacks critical optical domain requirements such as optical phased arrays, optical metasurfaces, and free-space optical communication. Despite presenting substantial technical content with quantitative performance metrics, the study fundamentally does not meet the core screening criteria related to optical systems and OPA-RIS architectures.",0.1
