record_id,doi_or_id,reason,notes
elicit-2025-09-18-0001,10.1109/MWC.002.2200206,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence; no metrics/key-physics,"[Elicit: Exclude] [score=1.4] [tier=T4] [rank=13.399] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract does not discuss any cascaded paths or OPA→RIS configurations. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions comparing performance with and without RIS, suggesting some baseline comparisons. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide any information about wavelength, propagation distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention the use of optical phased arrays. | Reasoning for ""Optical Domain (not RF)""=The abstract suggests the work is in the wireless/Radio Frequency (RF) domain rather than the optical domain, as it discusses wireless propagation and spectrum congestion. | Reasoning for ""Optical RIS/Metasurface Present""=While the abstract discusses RIS, it is in the context of wireless propagation, not optical metasurfaces. | Reasoning for ""Free-Space Optical Systems""=The paper appears to focus on wireless systems rather than free-space optical systems. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on Integrated Sensing and Communication (ISAC) applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract does not mention any non-line-of-sight (NLoS) scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention Optical Phased Arrays (OPAs) or cascaded configurations with Reconfigurable Intelligent Surfaces (RIS), indicating that this study does not investigate OPA-RIS cascaded architectures. | Reasoning for ""Quantitative Performance Metrics""=The abstract mentions ""performance"" but does not explicitly state any specific quantitative performance metrics. | Reasoning for ""Substantial Technical Content""=The paper appears to be a technical review/analysis with substantial content, including case studies. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention any atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The abstract focuses on wireless Integrated Sensing and Communication (ISAC) and Reconfigurable Intelligent Surfaces (RIS), but lacks critical elements related to optical systems, optical phased arrays, and free-space optical configurations. Despite addressing ISAC applications and providing some technical insights, the paper fundamentally fails to meet the core screening criteria for optical domain research, particularly those involving optical phased arrays and metasurfaces."
elicit-2025-09-18-0002,10.1109/MSP.2023.3279986,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence; not substantial; no metrics/key-physics,"[Elicit: Exclude] [score=1.4] [tier=T4] [rank=9.425] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract does not discuss OPA→RIS cascaded paths. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions comparing joint S&C designs with individual gains, suggesting some comparative analysis. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide specific wavelengths or distances, though it mentions frequency bands. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention optical phased arrays. | Reasoning for ""Optical Domain (not RF)""=The abstract explicitly focuses on mm-wave and THz frequency bands, not optical wavelengths. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is discussed, it is in the context of RF/mmWave, not optical metasurfaces. | Reasoning for ""Free-Space Optical Systems""=The paper focuses on wireless systems but in RF/mmWave, not optical. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on ISAC applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=While propagation environments are mentioned, NLoS scenarios are not explicitly discussed. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention optical phased arrays or their cascaded configuration with reconfigurable intelligent surfaces (RIS). | Reasoning for ""Quantitative Performance Metrics""=While the abstract mentions ""performance,"" it does not explicitly state specific metrics. | Reasoning for ""Substantial Technical Content""=The paper appears to be a tutorial-style overview with technical content, though it is not clear if it includes experimental or simulation results. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention atmospheric turbulence parameters. | Reasoning for ""Screening judgement""=The research focuses on mm-wave and terahertz frequency bands for integrated sensing and communication systems, utilizing reconfigurable intelligent surfaces in a wireless context. Despite addressing ISAC applications, the study fundamentally operates in radio frequency domains rather than optical wavelengths, failing key screening criteria related to optical phased arrays, metasurfaces, and free-space optical systems. Consequently, the work does not align with the specified technical requirements for optical communication research."
elicit-2025-09-18-0004,10.1109/LCOMM.2022.3195062,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence,"[Elicit: Exclude] [score=1.4] [tier=T4] [rank=10.836] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=While there is a RIS system, it is not in an optical cascaded configuration. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions performance improvements but does not explicitly detail baselines. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not mention wavelength or specific physical parameters. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention optical phased arrays. | Reasoning for ""Optical Domain (not RF)""=The abstract discusses ""wireless propagation"" and appears to be in the RF domain, not the optical domain. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, it is clearly in the RF domain, not the optical domain. | Reasoning for ""Free-Space Optical Systems""=The system appears to be RF-based wireless communication, not free-space optical. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on ISAC applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=Non-line-of-sight scenarios are not explicitly mentioned in the abstract. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention Optical Phased Arrays (OPAs) or a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). It appears to be about RF-based RIS systems instead. | Reasoning for ""Quantitative Performance Metrics""=The abstract mentions data rate and mutual information as metrics. | Reasoning for ""Substantial Technical Content""=The paper appears to be a technical paper with optimization algorithms and simulations. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention atmospheric conditions or turbulence parameters. | Reasoning for ""Screening judgement""=The research focuses on RF-based wireless communication systems using reconfigurable intelligent surfaces (RIS) for integrated sensing and communication, which fundamentally differs from optical domain requirements. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the study non-compliant with the specified technical parameters. Despite addressing ISAC applications and demonstrating technical depth, the core optical system specifications are absent."
elicit-2025-09-18-0005,10.1109/MNET.2023.3321542,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence; no metrics/key-physics,"[Elicit: Exclude] [score=0.1] [tier=T4] [rank=3.277] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=There is no discussion of OPA→RIS cascaded paths. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions comparing active vs. passive RISs. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not mention any specific wavelengths, distances, or aperture sizes. | Reasoning for ""OPA Present (optical phased array)""=There is no mention of optical phased arrays. The focus is entirely on RF RIS systems. | Reasoning for ""Optical Domain (not RF)""=The paper clearly focuses on wireless (RF) communications and radar systems, not optical domain applications. | Reasoning for ""Optical RIS/Metasurface Present""=While RISs are discussed, they are RF-based, not optical metasurfaces. | Reasoning for ""Free-Space Optical Systems""=The paper focuses on wireless RF systems, not free-space optical systems. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on ISAC applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=There is no explicit mention of NLoS scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention Optical Phased Arrays (OPAs) or their cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on wireless (RF) RIS applications. | Reasoning for ""Quantitative Performance Metrics""=The abstract mentions ""numerical examples"" but doesn't specify which metrics are used. | Reasoning for ""Substantial Technical Content""=The paper appears to be a comprehensive review with numerical examples and technical analysis. | Reasoning for ""Turbulent Channel Conditions""=There is no mention of atmospheric turbulence or related parameters. | Reasoning for ""Screening judgement""=The research focuses exclusively on wireless RF systems and reconfigurable intelligent surfaces, completely missing the required optical domain criteria. Critical screening requirements related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the paper unsuitable for the specified research parameters. Despite addressing ISAC applications and demonstrating substantial technical content, the fundamental mismatch with optical system requirements disqualifies the study."
elicit-2025-09-18-0006,10.48550/arXiv.2401.15562,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence; no metrics/key-physics,"[Elicit: Exclude] [score=1.4] [tier=T4] [rank=3.008] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract mentions metasurfaces as ""separate entities placed between the transmitter and receiver,"" but this is in a general context, not specifically an OPA→RIS cascaded configuration. | Reasoning for ""Comparators/Baselines Reported""=As a survey paper, it likely includes comparisons, but these are not explicitly mentioned in the abstract. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide any specific physical parameters like wavelength, distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention optical phased arrays. The paper discusses metasurfaces in general terms, without indicating they are specifically optical. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify the wavelength domain, and the context suggests the paper is focused on RF/microwave applications rather than the optical regime. | Reasoning for ""Optical RIS/Metasurface Present""=While metasurfaces are discussed extensively, there is no indication these are specifically optical metasurfaces. The context suggests the focus is on RF/microwave applications. | Reasoning for ""Free-Space Optical Systems""=The abstract does not mention free-space optical systems. The focus appears to be on general wireless communication. | Reasoning for ""ISAC Applications""=The abstract indicates that the primary focus of the paper is on integrated sensing and communication (ISAC) applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract does not explicitly mention non-line-of-sight (NLoS) optical communication scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not specifically mention optical phased arrays or their cascaded configuration with reconfigurable intelligent surfaces (RIS). The focus appears to be on general wireless communication and radar applications, rather than optical systems. | Reasoning for ""Quantitative Performance Metrics""=The abstract does not mention specific performance metrics, though as a survey it may include them in the full text. | Reasoning for ""Substantial Technical Content""=The abstract suggests this is a comprehensive survey paper with substantial technical content. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The survey paper focuses on metasurface-assisted integrated sensing and communication (ISAC) in wireless communication systems, primarily addressing RF/microwave applications rather than optical domains. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, indicating the research does not align with the specified technical requirements. While comprehensive in its ISAC coverage, the paper lacks the specific optical and technical parameters necessary for inclusion."
elicit-2025-09-18-0007,10.1109/TWC.2023.3313938,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS,"[Elicit: Exclude] [score=1.4] [tier=T4] [rank=15.346] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=While the paper discusses RIS-assisted systems, it's not specifically about OPA→RIS cascading. | Reasoning for ""Comparators/Baselines Reported""=The paper compares single-RIS vs dual-RIS configurations and evaluates against desired SINR baselines. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not mention wavelength, propagation distance, or aperture sizes. | Reasoning for ""OPA Present (optical phased array)""=No mention of optical phased arrays. The system appears to be a general beamforming system rather than one using an optical phased array. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify the frequency domain or mention optical components. The context suggests this is likely an RF system study rather than one in the optical domain. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, there's no indication it's an optical RIS. The context suggests RF implementation rather than an optical RIS/metasurface. | Reasoning for ""Free-Space Optical Systems""=The abstract doesn't specify if this is free-space optical or another type of system. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on integrated sensing and communication (ISAC) systems. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract mentions scenarios ""when the users and targets are not directly visible,"" indicating the study examines non-line-of-sight scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The paper discusses RIS-assisted systems but does not specifically mention optical phased arrays. It appears to be a general RIS system study rather than one focused on OPA-RIS cascaded architecture. | Reasoning for ""Quantitative Performance Metrics""=The study reports SINR and target illumination power metrics. | Reasoning for ""Substantial Technical Content""=This appears to be a detailed technical study with optimization problems and numerical simulations, indicating substantial technical content. | Reasoning for ""Turbulent Channel Conditions""=No mention of atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The study appears to be an RF-based RIS-assisted ISAC system research without optical components, lacking specific optical parameters like wavelength or aperture size. While demonstrating strong technical content with quantitative performance metrics and non-line-of-sight scenarios, the work does not meet the optical domain screening criteria. The absence of optical phased arrays, optical RIS, and optical physics specifications renders the paper non-compliant with the systematic review's optical focus."
elicit-2025-09-18-0008,10.1109/TVT.2023.3248657,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence,"[Elicit: Exclude] [score=1.4] [tier=T4] [rank=14.074] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=While there is a RIS system, it's not in a cascaded configuration with an OPA. | Reasoning for ""Comparators/Baselines Reported""=Yes, the abstract mentions comparing performance with and without RIS deployment. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract doesn't mention wavelength, propagation distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=No mention of optical phased arrays. The system uses multi-antenna base stations which are typically RF-based. | Reasoning for ""Optical Domain (not RF)""=No indication of optical domain work. The context suggests RF/mmWave systems given the mention of ""wireless propagation environment"" and multi-antenna base stations. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, it's not specified as an optical RIS. The context suggests it's an RF RIS. | Reasoning for ""Free-Space Optical Systems""=No indication of free-space optical systems. The context suggests RF wireless systems. | Reasoning for ""ISAC Applications""=Yes, this is explicitly an ISAC study. | Reasoning for ""Non-Line-of-Sight Scenarios""=Not explicitly mentioned in the abstract. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract discusses RIS in an ISAC system but does not mention optical phased arrays. It appears to be focused on RF systems with multi-antenna base stations. | Reasoning for ""Quantitative Performance Metrics""=Yes, the study mentions SNR and QoS metrics. | Reasoning for ""Substantial Technical Content""=Yes, this appears to be a substantial technical study with optimization algorithms and simulation results. | Reasoning for ""Turbulent Channel Conditions""=No mention of atmospheric turbulence parameters. | Reasoning for ""Screening judgement""=The study focuses on RF/mmWave systems with reconfigurable intelligent surfaces (RIS) in an integrated sensing and communication (ISAC) context, lacking optical domain characteristics. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the paper unsuitable for the specified research domain. While technically substantive, the work fundamentally diverges from the optical system requirements."
elicit-2025-09-18-0009,10.1109/TCOMM.2023.3244246,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence,"[Elicit: Exclude] [score=1.4] [tier=T4] [rank=14.392] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=No cascaded path is mentioned in the abstract. The system appears to be a single-hop RIS-enabled communication system rather than a cascaded OPA-RIS configuration. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions ""comparison with several existing benchmarks"" and discusses trade-offs, indicating that the study reports comparators or baselines. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide any information about wavelength, propagation distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=There is no mention of optical phased arrays in the abstract. The system appears to use general beamforming without specific OPA components. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify the frequency domain or mention any optical components. The context suggests this is likely an RF-based study rather than an optical domain study. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, there is no indication that it is an optical metasurface. The discussion of beamforming suggests an RF implementation rather than an optical RIS/metasurface. | Reasoning for ""Free-Space Optical Systems""=There is no indication in the abstract that the study focuses on free-space optical systems. The context suggests an RF communication system rather than a free-space optical system. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on integrated sensing and communication (ISAC) applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=Non-line-of-sight scenarios are not explicitly mentioned in the abstract. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention optical phased arrays or a cascaded configuration with reconfigurable intelligent surfaces (RIS). The study appears to be focused on a general RIS-enabled system rather than a specific OPA-RIS cascaded architecture. | Reasoning for ""Quantitative Performance Metrics""=The study reports quantitative performance metrics such as SNR and detection probability. | Reasoning for ""Substantial Technical Content""=This is a detailed technical study with optimization algorithms, mathematical analysis, and simulations, indicating substantial technical content. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention any atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The study focuses on a reconfigurable intelligent surface (RIS) system for integrated sensing and communication, but lacks specific optical domain characteristics such as wavelength, optical phased arrays, or free-space optical components. While technically rigorous with quantitative performance metrics and ISAC applications, the research appears to be an RF-based system that does not meet the optical-specific screening criteria."
elicit-2025-09-18-0010,10.1109/jsac.2022.3155542,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence,"[Elicit: Exclude] [score=0.1] [tier=T4] [rank=16.192] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The paper does not discuss OPA→RIS cascaded paths. | Reasoning for ""Comparators/Baselines Reported""=The paper compares CIS vs DIS and discusses performance improvements. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract mentions SNR and spectral efficiency but does not specify wavelengths or physical parameters. | Reasoning for ""OPA Present (optical phased array)""=The paper does not mention optical phased arrays. | Reasoning for ""Optical Domain (not RF)""=The paper is about wireless networks, not optical systems. There is no mention of optical wavelengths, lasers, or optical components. | Reasoning for ""Optical RIS/Metasurface Present""=While RISs are discussed, they are in the context of wireless networks, not optical metasurfaces. | Reasoning for ""Free-Space Optical Systems""=The paper is about wireless networks, not optical systems. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on ISAC applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=The paper does not explicitly mention non-line-of-sight scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on wireless networks and general RIS concepts. | Reasoning for ""Quantitative Performance Metrics""=The paper mentions SNR, spectral efficiency, and localization accuracy as quantitative performance metrics. | Reasoning for ""Substantial Technical Content""=The paper appears to be a theoretical analysis with substantial technical content, including signal models and performance analysis. | Reasoning for ""Turbulent Channel Conditions""=The paper does not mention atmospheric conditions or turbulence. | Reasoning for ""Screening judgement""=The research focuses on wireless network ISAC systems using reconfigurable intelligent surfaces, but lacks critical optical domain requirements such as optical phased arrays, optical metasurfaces, and free-space optical communication. Despite presenting substantial technical content with quantitative performance metrics, the study fundamentally does not meet the core screening criteria related to optical systems and OPA-RIS architectures."
elicit-2025-09-18-0011,10.1109/TVT.2022.3197448,non-optical; no OPA; no optical RIS; no cascaded OPA→RIS; no NLoS/turbulence,"[Elicit: Exclude] [score=0.1] [tier=T4] [rank=16.669] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The system uses RIS but not in a cascaded configuration with an optical phased array. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions ""advancement of deploying RIS"" suggesting comparative analysis. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not mention wavelength, propagation distance, or aperture sizes. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention optical phased arrays, and the system uses traditional RF antennas instead. | Reasoning for ""Optical Domain (not RF)""=The abstract appears to be discussing RF systems, mentioning ""multi-antenna base station"" and ""spectrum congestion"" which are RF concepts, rather than optical systems. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, it is clearly in the RF domain, not optical. | Reasoning for ""Free-Space Optical Systems""=This is an RF system, not a free-space optical system. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on ISAC applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract does not mention non-line-of-sight scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention optical phased arrays or a cascaded configuration with reconfigurable intelligent surfaces (RIS), so this criterion is not met. | Reasoning for ""Quantitative Performance Metrics""=The study mentions ""achievable sum-rate"" as a performance metric. | Reasoning for ""Substantial Technical Content""=This appears to be a technical paper with optimization algorithms and simulation studies. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=This research focuses on RF-based Integrated Sensing and Communication (ISAC) systems using reconfigurable intelligent surfaces, which fundamentally differs from optical domain requirements. The study lacks key optical components like optical phased arrays, optical RIS, and free-space optical communication elements, rendering it incompatible with the specified screening criteria. While technically robust, the paper does not meet the essential optical system specifications."
