record_id,doi_or_id,venue,year,title,authors,SRC,TRACE,architecture,channel_regime,wavelength_nm,primary_outcome,task_domain,data_availability,opa_N_elements,opa_pitch_um,opa_phase_bits,opa_scan_range_deg,opa_scan_rate_hz,ris_size_elems,ris_lattice,ris_phase_states,ris_response_ms,ris_fill_factor,z_total_m,nlos_geometry,Cn2,r0_m,rytov_var,regime,pillar_WD_JD,pillar_RC_PR_T,pillar_BN_RIS,pillar_RPB_Kol,pillar_HW_Q_CTRL,optimizer,training_signal,snr_db,sinr_db,ber,evm_pct,psl_db,islr_db,hpbw_deg,contrast,roc_auc,crb_unit,runtime_s,mem_gb,baselines_present,realism_score,rob_overall,normalization_notes,notes
elicit-2025-09-18-0003,10.1109/RadarConf2351548.2023.10149664,conf,2022,RIS-assisted Integrated Sensing and Communications: A Subspace Rotation Approach: Invited Paper,"Xiao Meng, F. Liu, Shih-Jung Lu, S. Chepuri, C. Masouros",ELICIT,DIRECT,other,,,to-verify,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=112.710] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract does not describe a cascaded OPA→RIS configuration. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions a benchmark scheme for comparison. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide any specific physical parameters like wavelength or distances. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not explicitly mention optical phased arrays. The ""active beamforming"" mentioned could be RF-based. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the system operates in the optical domain. There is no mention of wavelengths, lasers, or optical components. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is mentioned, there is no specification that it is an optical RIS or metasurface. | Reasoning for ""Free-Space Optical Systems""=The abstract does not specify whether this is for free-space optical systems. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on integrated sensing and communication (ISAC) applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=Non-line-of-sight scenarios are not mentioned in the abstract. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not specifically mention optical phased arrays or a cascaded configuration. It discusses joint active and passive beamforming, but this appears to be in a general context rather than an OPA-RIS cascaded architecture. | Reasoning for ""Quantitative Performance Metrics""=The abstract mentions SNR as a performance metric. | Reasoning for ""Substantial Technical Content""=This appears to be a technical paper with theoretical analysis and numerical simulations. | Reasoning for ""Turbulent Channel Conditions""=There is no mention of atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The abstract describes an integrated sensing and communication system using reconfigurable intelligent surfaces, but lacks specific evidence of an optical domain implementation with optical phased arrays. Critical screening criteria related to optical wavelength, cascaded architecture, and free-space optical systems are not addressed, suggesting the work may be a general RIS-assisted communication study rather than a focused optical research paper."
elicit-2025-09-18-0022,10.48550/arXiv.2203.05902,conf,2022,Beamforming in Hybrid RIS assisted Integrated Sensing and Communication Systems,"R. Sankar, S. Chepuri",ELICIT,DIRECT,other,,,to-verify,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.7] [tier=T1] [rank=114.897] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract describes a hybrid RIS system but doesn't specifically mention a cascaded OPA→RIS configuration. | Reasoning for ""Comparators/Baselines Reported""=The study explicitly compares the hybrid RIS system against passive RIS and no-RIS systems. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide wavelength, propagation distance, or aperture size information. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention optical phased arrays. The system appears to be a general RIS implementation. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the work is in the optical or RF domain. The mention of amplifiers and phase shifters could apply to either domain. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, there's no indication it's an optical metasurface. The description suggests a more general RIS implementation. | Reasoning for ""Free-Space Optical Systems""=The abstract doesn't specify whether this is for free-space optical systems. | Reasoning for ""ISAC Applications""=The study explicitly focuses on integrated sensing and communication (ISAC) applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=Not mentioned in the abstract. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention optical phased arrays or a cascaded configuration with reconfigurable intelligent surfaces (RIS). | Reasoning for ""Quantitative Performance Metrics""=The study mentions SINR and target illumination power as performance metrics. | Reasoning for ""Substantial Technical Content""=This appears to be a technical study with numerical simulations and optimization methods. | Reasoning for ""Turbulent Channel Conditions""=No mention of atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The study presents a hybrid RIS system for integrated sensing and communication, but lacks clear evidence of optical domain implementation, optical phased arrays, or specific optical parameters. While demonstrating technical depth with numerical simulations and performance comparisons, the abstract does not definitively meet the screening criteria for an optical RIS system. The research appears more aligned with a general RIS approach rather than a specifically optical configuration."
elicit-2025-09-18-0059,10.1109/TWC.2023.3302319,journal,2023,Simultaneous Beam Training and Target Sensing in ISAC Systems With RIS,"Kangjian Chen, Chenhao Qi, O. Dobre, Geoffrey Y. Li",ELICIT,DIRECT,other,NLoS,,,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=103.472] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The system does use RIS in a cascaded configuration with base station and user terminals, but not specifically with OPA. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions simulation results but doesn't explicitly compare against baselines. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide wavelength, propagation distance, or aperture size information. | Reasoning for ""OPA Present (optical phased array)""=There is no explicit mention of optical phased arrays. The system appears to use general beamforming techniques. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether this is in the optical regime. The terminology used (beam training, angle-delay domain) could apply to either RF or optical systems. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, there's no indication it's an optical RIS or metasurface. | Reasoning for ""Free-Space Optical Systems""=The abstract doesn't specify if this is free-space optical or another type of system. | Reasoning for ""ISAC Applications""=This is explicitly an ISAC system as stated in the first sentence. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract explicitly mentions both LoS and NLoS channels. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not specifically mention optical phased arrays (OPAs) in a cascaded configuration with reconfigurable intelligent surfaces (RIS). It appears to be a general RIS system without OPA specification. | Reasoning for ""Quantitative Performance Metrics""=While the abstract mentions ""simulation results verify effectiveness,"" it doesn't specify quantitative metrics. | Reasoning for ""Substantial Technical Content""=This appears to be a full technical paper with simulation results and detailed schemes. | Reasoning for ""Turbulent Channel Conditions""=There is no mention of atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The study presents an integrated sensing and communication system with reconfigurable intelligent surface, focusing on beam training and target sensing across line-of-sight and non-line-of-sight channels. However, the research lacks clear specification of optical domain characteristics, optical phased arrays, and key physics parameters, which limits its alignment with the detailed screening criteria. While demonstrating substantial technical content and addressing ISAC applications, the abstract does not definitively confirm an optical system with the required architectural specifications."
elicit-2025-09-18-0060,10.1109/GLOBECOM48099.2022.10001508,conf,2022,Joint Localization and Information Transfer for RIS Aided Full-Duplex Systems,"Z. Shao, Xiaojun Yuan, W. Zhang, M. Di Renzo",ELICIT,DIRECT,other,,,,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=105.280] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=While there is a RIS system, it is not specifically in a cascaded configuration with an OPA. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions comparing different CS algorithms and analyzing performance through BCRB, indicating the presence of comparators or baselines. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide wavelength, propagation distance, or aperture size information. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention optical phased arrays. The system appears to use general RIS technology without an OPA. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the work is in the optical or RF domain. There is no mention of wavelengths, lasers, or optical components. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, there is no indication that it is an optical RIS or metasurface. The description suggests a general RIS implementation. | Reasoning for ""Free-Space Optical Systems""=The abstract does not specify if this is a free-space optical system. | Reasoning for ""ISAC Applications""=The abstract explicitly states that this is an ISAC application, combining sensing and communication. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract does not specify whether non-line-of-sight (NLoS) scenarios are considered. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention optical phased arrays (OPAs) or a cascaded configuration with reconfigurable intelligent surfaces (RIS). The system appears to use general RIS technology without specific optical components. | Reasoning for ""Quantitative Performance Metrics""=The study appears to use quantitative metrics, though specific ones are not detailed in the abstract. | Reasoning for ""Substantial Technical Content""=The abstract indicates that this is a substantial technical study with theoretical analysis and numerical results. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The study presents a reconfigurable intelligent surface (RIS) aided integrated sensing and communication (ISAC) scenario, but lacks specific optical domain characteristics such as wavelength, optical phased arrays, or optical metasurfaces. While demonstrating substantial technical content and ISAC applications, the research does not meet critical screening criteria related to optical system implementation and OPA-RIS cascaded architecture."
elicit-2025-09-18-0061,10.1109/TCCN.2024.3375501,journal,2024,P²C²M: Parallel Product Complex Circle Manifold for RIS-Aided ISAC Waveform Design,"Kai Zhong, Jinfeng Hu, Jun Liu, Dong-Chun An, Cunhua Pan, K. C. Teh, Xianxiang Yu, Huiyong Li",ELICIT,DIRECT,other,,,,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=106.233] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract discusses RIS-aided systems but does not specifically mention a cascaded OPA→RIS configuration. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions comparing their method with existing methods and discussing performance improvements. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide any physical parameters like wavelength, distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention the use of an optical phased array. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the work is in the optical or RF domain. The discussion of waveforms and RIS could apply to either domain. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is discussed, the abstract does not specify whether it is optical or RF-based. | Reasoning for ""Free-Space Optical Systems""=The abstract does not specify whether this is for free-space optical systems. | Reasoning for ""ISAC Applications""=The abstract explicitly states that this research focuses on Integrated Sensing and Communication (ISAC) applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract does not mention non-line-of-sight (NLoS) optical communication scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention Optical Phased Arrays (OPAs) or a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). It focuses on waveform design for ISAC systems with RIS, but does not discuss the specific architecture. | Reasoning for ""Quantitative Performance Metrics""=While performance is mentioned, the abstract does not provide specific quantitative performance metrics. | Reasoning for ""Substantial Technical Content""=The abstract indicates that this is a technical study with a mathematical framework (P2C2M) and optimization algorithms, suggesting substantial technical content. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention any atmospheric conditions or turbulence parameters. | Reasoning for ""Screening judgement""=The abstract describes a theoretical study on Integrated Sensing and Communication (ISAC) systems with Reconfigurable Intelligent Surfaces (RIS), but lacks specific details about optical domain, phased arrays, or physical parameters. While demonstrating substantial technical content and ISAC focus, the work does not clearly indicate an optical implementation or meet several key screening criteria related to optical systems and cascaded architectures."
elicit-2025-09-18-0072,10.23919/EuCAP60739.2024.10501539,conf,2024,Fully Autonomous Reconfigurable Metasurfaces with Integrated Sensing and Communication,"Hamidreza Taghvaee, Maryam Khodadadi, G. Gradoni, Mohsen Khalily",ELICIT,DIRECT,other,,,,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=101.882] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract does not provide any evidence of a cascaded path between OPA and RIS. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions that the addition of sensing capabilities has ""minimal impact on its primary functionality,"" suggesting some comparative analysis, but the details are limited. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide wavelength, propagation distance, or aperture size information. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention optical phased arrays, and the focus is on metasurface-based beamforming instead. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the work is in the optical regime or RF/mmWave, as the mention of ""metasurface"" could apply to either domain, and there is no mention of optical wavelengths or components. | Reasoning for ""Optical RIS/Metasurface Present""=While a metasurface is present, it is not explicitly stated to be optical, and the technology described could be RF-based. | Reasoning for ""Free-Space Optical Systems""=The abstract does not specify whether this is for free-space optical communication. | Reasoning for ""ISAC Applications""=The abstract explicitly focuses on integrated sensing and communication applications. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract does not mention any non-line-of-sight scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not mention optical phased arrays or a cascaded configuration between OPA and RIS, so there is no evidence that this study investigates OPA-RIS cascaded architecture. | Reasoning for ""Quantitative Performance Metrics""=The abstract does not mention any specific quantitative performance metrics. | Reasoning for ""Substantial Technical Content""=The abstract indicates that this is a technical paper with substantial content, proposing a new hybrid metasurface layout and sensing scheme. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention any atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The abstract describes a metasurface technology for integrated sensing and communication, but lacks clear evidence of optical domain, optical phased arrays, or cascaded architecture. While the study appears technically substantive and addresses ISAC applications, it fails to meet critical screening criteria related to optical systems and specific technical parameters. The work seems more focused on a general metasurface approach rather than a specific optical communication solution."
elicit-2025-09-18-0118,10.1109/ICCC62479.2024.10681893,conf,2024,Signal Enhancing: Bi-Static ISAC with IRS-Mounted Target,"Lingqin Kong, Xiaowei Pang, Jie Tang, Nan Zhao, Xianbin Wang, Naofal Aldhahir",ELICIT,DIRECT,other,,,,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=101.882] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The system is described as ""bi-static"" with IRS mounted on the target, but this is not specifically an OPA→RIS cascade. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions ""simulation results"" but does not explicitly state comparisons with baselines. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide information about the wavelength, propagation distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention the use of an optical phased array. The system appears to use general beamforming without specifying the technology. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the work is in the optical regime (nm wavelengths, laser/LED/VCSEL, optics) and uses optical metasurfaces/SLMs. The context suggests this could be an RF-based IRS system rather than an optical one. | Reasoning for ""Optical RIS/Metasurface Present""=While the abstract mentions an Intelligent Reconfigurable Surface (IRS), it does not specify that this is an optical metasurface. The context suggests this is likely an RF-based IRS rather than an optical one. | Reasoning for ""Free-Space Optical Systems""=The abstract does not specify whether this is a free-space optical system or another type of system. | Reasoning for ""ISAC Applications""=The abstract explicitly states that this is an ISAC application study. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract mentions a ""bi-static"" configuration but does not explicitly discuss non-line-of-sight (NLoS) scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not specifically mention Optical Phased Arrays (OPAs) in a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). It appears to be a general IRS-aided system rather than an OPA-RIS cascaded architecture. | Reasoning for ""Quantitative Performance Metrics""=The abstract mentions SNR as a performance metric. | Reasoning for ""Substantial Technical Content""=The abstract indicates that this is a technical study with optimization algorithms and simulation results, suggesting substantial technical content. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention any atmospheric turbulence parameters. | Reasoning for ""Screening judgement""=The study appears to be a general IRS-aided ISAC system likely in the RF domain, lacking specific optical components or OPA-RIS cascaded architecture. While demonstrating technical depth with optimization algorithms and performance metrics, the abstract fails to meet critical criteria for an optical system, including wavelength specifications, optical phased arrays, and free-space optical characteristics. The research seems more aligned with RF-based intelligent surface technologies rather than optical communication systems."
elicit-2025-09-18-0123,10.1109/ICCC62609.2024.10942207,conf,2024,Design of ISAC Directional Modulation Exploring Reconfigurable Intelligent Surface,"Jiyuan Fan, Bo Zhang, Baoju Zhang, Yuan Ding, Taekon Kim, Maolin Lin",ELICIT,DIRECT,other,,,to-verify,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=107.803] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract does not mention a cascaded path between OPA and RIS. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions optimization of discrete phase values, suggesting some comparative analysis, but it is not explicitly clear. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide information about wavelength, propagation distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=The abstract does not mention the use of optical phased arrays. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the work is in the optical or RF domain, and the mention of radar suggests it might be RF-based. | Reasoning for ""Optical RIS/Metasurface Present""=While the abstract mentions RIS, there is no indication that it is an optical RIS. | Reasoning for ""Free-Space Optical Systems""=The abstract does not specify if the work is focused on free-space optical systems. | Reasoning for ""ISAC Applications""=The abstract explicitly mentions ISAC systems. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract does not mention non-line-of-sight optical communication scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not specifically mention optical phased arrays or a cascaded configuration between OPA and RIS, which is a critical missing element. | Reasoning for ""Quantitative Performance Metrics""=The abstract mentions SNR as a performance metric. | Reasoning for ""Substantial Technical Content""=The abstract indicates that this is a technical paper with a design approach and optimization methods. | Reasoning for ""Turbulent Channel Conditions""=The abstract does not mention any atmospheric conditions or turbulence parameters. | Reasoning for ""Screening judgement""=The abstract lacks critical elements of optical phased array and reconfigurable intelligent surface (RIS) architecture, with no clear indication of optical domain operation or cascaded configuration. While the study addresses integrated sensing and communication (ISAC) and includes performance metrics like SNR, it appears more aligned with RF/radar applications rather than optical systems. The absence of key physics parameters and optical-specific components suggests limited relevance to the specified screening criteria."
elicit-2025-09-18-0125,10.1109/PIMRC59610.2024.10817170,conf,2024,Beamforming design for RIS-aided MIMO ISAC Systems based on Mutual Information,"Jin Li, Gui Zhou, Tantao Gong, Nan Liu",ELICIT,DIRECT,other,,,to-verify,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.5] [tier=T1] [rank=110.882] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The abstract describes a sensing link created by the RIS, but not specifically a cascaded OPA→RIS path. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions comparing their algorithm against ""other benchmarks."" | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not provide wavelength, propagation distance, or aperture size information. | Reasoning for ""OPA Present (optical phased array)""=There is no mention of optical phased arrays in the abstract. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether the work is in the optical or RF domain, as the mention of ""light-of-sight"" could be either optical or RF. | Reasoning for ""Optical RIS/Metasurface Present""=While RIS is present, it's not specified if it's optical or RF. | Reasoning for ""Free-Space Optical Systems""=While LoS is mentioned, it's not clear if this is specifically for free-space optical communication. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on integrated sensing and communication (ISAC) systems. | Reasoning for ""Non-Line-of-Sight Scenarios""=The abstract specifically mentions LoS channels and only briefly mentions obstacles, but doesn't focus on NLoS scenarios. | Reasoning for ""OPA-RIS Cascaded Architecture""=The abstract does not specifically discuss OPAs or a cascaded configuration, and instead focuses on RIS-aided ISAC systems in general. | Reasoning for ""Quantitative Performance Metrics""=The study reports sensing mutual information and beampattern performance metrics. | Reasoning for ""Substantial Technical Content""=This appears to be a technical analysis with optimization algorithms and numerical results. | Reasoning for ""Turbulent Channel Conditions""=There is no mention of atmospheric turbulence or channel conditions. | Reasoning for ""Screening judgement""=The study focuses on RIS-aided integrated sensing and communication systems with optimization techniques, but lacks clear evidence of optical domain specificity or optical phased array components. While demonstrating technical depth in ISAC applications and performance metrics, the research fails to meet critical screening criteria related to optical systems, cascaded architectures, and key physics specifications. The abstract suggests a theoretical approach to sensing and communication that does not align with the detailed optical system requirements."
elicit-2025-09-18-0128,10.1109/TVT.2024.3517709,journal,2024,Transmit Beamforming Design for ISAC With Stacked Intelligent Metasurfaces,"Shunyu Li, Fan Zhang, Tianqi Mao, Rui Na, Zhaocheng Wang, G. Karagiannidis",ELICIT,DIRECT,other,,,to-verify,ISAC,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Elicit: Include] [score=2.7] [tier=T1] [rank=111.877] -- Reasoning for ""Cascaded Path Realized (OPA→RIS)""=The paper does discuss a cascaded architecture with multiple layers, but not specifically OPA→RIS. | Reasoning for ""Comparators/Baselines Reported""=The abstract mentions comparing performance with conventional single-layer RIS. | Reasoning for ""Key Physics Specified (λ, distance, aperture)""=The abstract does not mention wavelength, propagation distance, or aperture size. | Reasoning for ""OPA Present (optical phased array)""=There is no explicit mention of optical phased arrays. The system uses base station beamforming but does not specify OPA implementation. | Reasoning for ""Optical Domain (not RF)""=The abstract does not specify whether this is optical or RF. The mention of ""metasurface"" could apply to either domain, and there is no mention of optical wavelengths or components. | Reasoning for ""Optical RIS/Metasurface Present""=While metasurfaces are mentioned, there is no indication these are optical metasurfaces specifically. | Reasoning for ""Free-Space Optical Systems""=The abstract does not specify if this is for free-space optical systems. | Reasoning for ""ISAC Applications""=The paper explicitly focuses on integrated sensing and communication (ISAC) systems. | Reasoning for ""Non-Line-of-Sight Scenarios""=Non-line-of-sight scenarios are not mentioned in the abstract. | Reasoning for ""OPA-RIS Cascaded Architecture""=The paper discusses a ""stacked intelligent metasurface (SIM) architecture"" with ""multiple transmissive metasurface layers,"" but does not specifically mention OPAs. This is considered a partial match at best. | Reasoning for ""Quantitative Performance Metrics""=The paper discusses sum rate and beam pattern metrics. | Reasoning for ""Substantial Technical Content""=This appears to be a technical paper with algorithm development and numerical analysis. | Reasoning for ""Turbulent Channel Conditions""=There is no mention of atmospheric turbulence parameters. | Reasoning for ""Screening judgement""=The study presents an integrated sensing and communication system using a stacked intelligent metasurface architecture, but lacks clear evidence of optical domain implementation or optical phased array presence. While demonstrating technical depth in beamforming and ISAC applications, the abstract does not definitively confirm key optical system characteristics such as wavelength, propagation distance, or free-space optical configuration."
