record_id,title,authors,year,venue,doi_or_id,Topology & HW Profile,Challenges,Signal Processing & Targeting Capabilities,Metrics & Evaluation,Solutions / Innovations,"Wavelength (λ,nm)",Range & Environment,Channel Impairment Focus,Turbulence Parameters (numeric only),Phase Retrieval / Channel Estimation,Beam Quality Metrics (numeric only),ISAC Coupling & Metrics,Hardware Maturity & Safety/Power,Evaluation Setup Notes,Risk of Bias,Normalization Notes,Anchor (p./Fig./Sec.),Notes,,,,,,,,,,,,,,,,,,,,,,
rec_00001,Joint Beamforming and Power Control for D2D-Assisted Integrated Sensing and Communication Networks,"Zhenyu Xue, Yuang Chen, Hancheng Lu, Baolin Chong, Wanqing Long",2024,2024 IEEE Global Communications Conference: Selected Areas in Communications: Integrated Sensing and Communication,10.1109/GLOBECOM52923.2024.10901750,Single cell; BS (8T/8R antennas); 3 CUs (single antenna); 2 D2D pairs (single antenna).,Interference from the radar system affecting communication performance; inherent trade-off between sensing and communication.,Joint beamforming and D2D power control algorithm; Semi-Definite Relaxation (SDR); Successive Convex Approximation (SCA); Zero-Forcing (ZF) beamforming.,"Maximize system sum rate (Channel Capacity, bps/Hz); Radar Signal-Clutter-Noise Ratio (SCNR, dB).",Leveraging D2D communication to enhance ISAC system communication capacity; A joint optimization algorithm (SDR/SCA) for BS beamforming and D2D power.,,"Simulation; Avg BS-CUE distance 100m; Avg D2D distance 10m; 1 target (0 deg), 2 clutters (+/- 30 deg).","Rayleigh fading; Path loss; Interference (BS-DUE, D2D-CUE, inter-D2D); Clutter.",,,,"Maximizes sum rate while guaranteeing radar SCNR performance; SCNR constraint (e.g., 34-37 dB) impacts capacity; BS signal combines communication symbols and radar signal.",30,"Numerical simulations; Baselines: Sensing-only, Communication-only, Fixed D2D scheme.","Simulation-only results; Assumes simplified channel models (Rayleigh); Specific geometry (3 CUEs, 2 D2D pairs).",,"[C7] p2, p5; [C8] p1; [C9] p1, p3; [C10] p1, p3; [C11] p1; [C13] p5; [C14] p2, p3; [C18] p1, p2, p5; [C19] p5; [C20] p1, p5; [C21] p4, p5",D2D assistance significantly improves ISAC sum-rate (22% over fixed D2D); D2D helps stabilize communication performance against stringent radar SCNR demands.,,,,,,,,,,,,,,,,,,,,,,
rec_00002,Integrated Sensing and Communications With Mixed Fields Using Transmit Beamforming,"Yun Xiao, Enhao Wang, Yunfei Chen, Li Chen, Aissa Ikhlef, Hongjian Sun",2025,IEEE WIRELESS COMMUNICATIONS LETTERS,10.1109/LWC.2024.3521186,"[C7: p.1, p.4] Bi-static ISAC; Dual-functional BS (Tx, Nt=129 ULA); Separate sensing receiver (Rx, Nr=129).","[C8: p.1, p.3] Mixed-field (NF/FF) propagation models; Model mismatch causing performance loss; Clutter signals.","[C9: p.1, p.3] Transmit beamforming (BF); Iterative algorithm (Algorithm 1) based on Semidefinite Relaxation (SDR).","[C10: p.1, p.4] Sensing SCNR (optimized); Communications SINR (constrained, e.g., 10-25 dB).",[C11: p.1] Beamforming design for mixed NF/FF ISAC; Optimization of sensing SCNR subject to comms SINR constraints; Two scenarios studied: NFS-FFC and FFS-NFC.,10000000,[C13: p.4] NF region < 15.03m; FF region > 15.03m; NF target at 10m; FF target at 35m; 2 clutters present.,"[C14: p.2, p.3] Clutter (modeled as clutter signal); Multi-user interference.",,[C16: p.2] Assumes known channel models and gains (NF/FF) before beamforming.,,"[C18: p.3, p.5] Trade-off: Sensing SCNR decreases as CU SINR (comms rate) increases; SCNR is optimized while guaranteeing CU SINR.",[C19: p.4] 30.,"[C20: p.4] Numerical simulation; 4 CUs, 1 target, 2 clutters; Baselines: Sensing-only, SCA-based BF.","[C21: p.2, p.3, p.4] Simulation only; Assumes known channel models/gains; Assumes clutter and target are in the same field.",[C22: p.5] Beampatterns normalized in Fig 4.,"[C7] p.1, p.4; [C8] p.1, p.3; [C9] p.1, p.3; [C10] p.1, p.4; [C11] p.1; [C12] p.4; [C13] p.4; [C14] p.2, p.3; [C16] p.2; [C18] p.3, p.5; [C19] p.4; [C20] p.4; [C21] p.2, p.3, p.4; [C22] p.5",[C24: p.1] Key novelty is optimizing SCNR in mixed NF/FF ISAC scenarios; Shows performance loss from model mismatch; Demonstrates SCNR vs. comms SINR trade-off.,,,,,,,,,,,,,,,,,,,,,,
rec_00003,"Waveform Design for Integrated Radar, Communication and Identification Towards Low-Altitude Economy","Qi Cheng, Yanjie Ji, Xuezhou Yang, Junping Wang, Li Zhou",2025,2025 13th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC),10.1109/ICWOC65853.2025.11151123,Integrated signal platform (core) serving communication targets and unknown identification targets; Air-to-Air (A2A) model.,"Designing integrated waveform (radar, comms, identification) for Low-Altitude Intelligent Networks (LAIN).","MMSE channel estimation; LFM-OFDM; Phase code-based (PN sequence); Dedicated radar sequence (ZC, Gold); DSSS.",Comm BER < 0.01% @ 100 km; Identification Accuracy > 90% @ 100 km; Spectral Efficiency +30%.,"Optimized waveform design (phase-coded OFDM vs dedicated radar sequences) for integrated radar, communication, and identification; Cooperative ISAC framework.",,Low-altitude economy (LAE); Air-to-Air (A2A) environment; 100 km operational range.,Multipath effects; Frequency dispersion (Doppler); Channel delay spread.,,MMSE channel estimation.,,"Integrated waveform design (OFDM) unifying detection, communication, and identification functions.",,"Simulation (link-level); OFDM waveforms; Rician fading channel (K=3) + AWGN; Baselines: Phase-coded vs Dedicated (ZC, Gold) sequences; DSSS vs no spread spectrum.","Simulation only; BER plots vs distance, not SNR.",,"[C7] p1, p2; [C8] p1; [C9] p1, p4, p5; [C10] p6; [C11] p1, p2, p6; [C13] p1, p2, p6; [C14] p2, p5; [C16] p1; [C18] p6, p5; [C20] p5, p6; [C21] p5","Proposes cooperative ISAC for LAE using OFDM; Compares phase-coded vs dedicated (ZC, Gold) radar sequences; ZC/Gold offer better Doppler resistance.",,,,,,,,,,,,,,,,,,,,,,
rec_00004,Precoding for Multi-Cell ISAC: From Coordinated Beamforming to Coordinated Multipoint and Bi-Static Sensing,"Nithin Babu, Christos Masouros, Constantinos B. Papadias, Yonina C. Eldar",2024,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,10.1109/TWC.2024.3417713,"[C7: p.3/Fig.1] Multi-cell multi-input single-output (MISO) ISAC system; J cells, K single-antenna users per cell; [C7: p.3/Sec.II] BS with... (ULA) of $N_{tx}$ transmit antennas... $N_{rx}$ elements for sensing.",[C8: p.1/Sec.I] ...inter-cell interference (ICI) due to co-channel signal leakage... [C8: p.1/Sec.I] ...inter-cell reflections (ICR) will be received... [C8: p.2/Sec.I] ...CSI is prone to errors... [C8: p.1/Abs] The formulated optimization problems... are non-convex.,[C9: p.1/Abs] ...semidefinite relaxation (SDR) and alternating optimization (AO) techniques. [C9: p.1/Abs] ...block-level (BL) and symbol-level (SL) precoding schemes... [C9: p.3/Sec.II] ...estimates target parameters using monostatic sensing. [C9: p.3/Sec.II] ...CoMP scheme... allowing bistatic sensing...,[C10: p.1/Abs] ...Cramer-Rao-Bound (CRB) to measure the sensing performance... [C10: p.1/Abs] ...maximize the minimum communication signal-to-interference-plus-noise-ratio (SINR)...,"[C11: p.1/Abs] ...framework for designing robust precoders... [C11: p.1/Abs] ...multi-cell scenarios, namely coordinated beamforming (CBF) and coordinated multi-point (CoMP). [C11: p.2/Sec.I] ...constructive interference (CI)-based precoding, also called SLP...",[C12: p.3/Sec.II] ...wavelength... $\lambda$. [C12: p.12/Sec.VI] $f_c = 5.6$ GHz.,[C13: p.3/Fig.1] Diagram of a multi-cell ISAC system...,[C14: p.1/Sec.I] ...inter-cell interference (ICI)... [C14: p.1/Sec.I] ...inter-cell reflections (ICR)... [C14: p.1/Abs] ...robust to channel state estimation errors.,,[C16: p.3/Sec.II] ...globally shared CSI obtained from the users via feedback channels. [C16: p.3/Sec.II] ...downlink CSI can be derived from the uplink channel observations... [C16: p.3/Sec.II] ...CSI uncertainty be limited within the spherical set...,[C17: p.11/Fig.4] Normalized Power [dB].,[C18: p.1/Abs] ...minimize the CRB... and maximize the minimum communication... (SINR)... [C18: p.1/Abs] ...CBF... monostatic sensing. [C18: p.1/Abs] ...CoMP... bistatic sensing... [C18: p.2/Sec.I] SLP... utilizes both the intra-cell and inter-cell interference...,[C19: p.1/Abs] ...satisfying a given total transmit power budget. [C19: p.12/Sec.VI] $P_t/\sigma_C^2 = P_t/\sigma_R^2 = 30$ dB.,"[C20: p.1/Abs] Simulations suggest... [C20: p.12/Sec.VI] ...simulation parameters are K = 3... $f_c = 5.6$ GHz. [C20: p.12/Fig.9] ...when $\gamma=10$ dB, $N_{rx}=10$, $K=3$, $\delta=0.01$.",[C21: p.1/Abs] Simulations suggest...,"[C22: p.5/Sec.III] The normalization factors $NF_{R,cbf}^{blp}$ and $NF_{C,cbf}^{blp}$ are determined by solving (P1) for $\rho=1$ and $\rho=0$, respectively.",p.1/Abs,"[C24: p.1/Abs] Proposes robust (BL/SL) precoding for multi-cell (CBF/CoMP) ISAC. CoMP with SLP performs best, leveraging inter-cell links for bistatic sensing and constructive interference.",,,,,,,,,,,,,,,,,,,,,,
rec_00005,SDOA-Net: An Efficient Deep-Learning-Based DOA Estimation Network for Imperfect Array,Peng Chen; Zhimin Chen; Liang Liu; Yun Chen; Xianbin Wang,2024,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2024.3391338,Simulated linear receive array with N=16 antennas estimating DOAs of K=3 far-field RF sources.,"Array imperfections: element-position perturbations, mutual coupling, inconsistent gains/phases, and nonlinear amplifier effects degrade classical DOA estimators.",Deep-learning-based super-resolution DOA estimator (SDOA-Net) using a CNN that ingests raw sampled array signals and outputs a spatial-spectrum vector.,"RMSE of DOA estimates; ≈0.70° RMSE at 10 dB SNR, giving 39.13% improvement over ANM; comparisons vs MUSIC, FFT, OMP, and deep frequency network baselines.","SDOA-Net architecture using raw signals instead of covariance matrices, improving robustness to array imperfections and decoupling from the number of sources.",,Far-field signal model; specific propagation distance and physical environment not specified (generic RF sensing scenario).,Focus on hardware/array imperfections rather than atmospheric or multipath channel effects.,,Network implicitly learns to compensate phase and gain errors via training on imperfect-array data.,,Framed as applicable to ISAC by enhancing sensing (DOA estimation); no explicit communication–sensing trade-off metrics defined.,,Performance evaluated via MATLAB/PyTorch simulations against several classical and DL baselines.,Simulation-only; results depend on assumed imperfection models and network hyperparameters.,“Imperfect factor” is a normalized parameter (0.1–1.0) scaling the joint severity of combined array imperfections.,[C7][C8][C9][C10][C11][C13][C14][C16][C18][C20][C21][C22],"Proposes SDOA-Net, a CNN that operates on raw array samples to yield robust, super-resolved DOA estimates for imperfect arrays, substantially outperforming classical and DL baselines in simulation.",,,,,,,,,,,,,,,,,,,,,,
rec_00008,Radar-Centric Photonic Terahertz Integrated Sensing and Communication System Based on LFM-PSK Waveform,"Zhidong Lyu, Lu Zhang, Hongqi Zhang, Zuomin Yang, Hang Yang, Nan Li, Lianyi Li, Vjačeslavs Bobrovs, Oskars Ozolins, Xiaodan Pang, Xianbin Yu",2023,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,10.1109/TMTT.2023.3267546,"Photonics-assisted THz-ISAC (330 GHz carrier); Tx: ECL (1552 nm), PM (OFC gen), WSS, IQ-MOD, UTC-PD (photomixing); Rx: THz-LNA, Schottky mixer.",Radar sensing performance (PSLR) degradation in complex environments (strong target masking); Trade-off between sensing metrics and communication data rate.,LFM-PSK waveform; Matched filter (pulse compression); Comm DSP: LFM carrier removal.,"Range resolution: 1.3 cm (exp), 1.25 cm (theo); PSLR: 20.9 dB (B2B), 19.7 dB (wireless) at 6 Gbit/s; Data rate: 6 Gbit/s (exp); BER < 7% HD-FEC threshold.","A radar-centric LFM-PSK waveform; Communication symbols (PSK) embedded in the LFM phase improve PSLR (~6 dB gain) due to randomness, enabling robust sensing in strong masking environments.",1552,1 m line-of-sight (LOS) wireless link; Back-to-back (B2B) fiber; Lab environment.,(Implicit) Wireless path loss; Non-ideal component response; Environment interference/reflection.,,,,"Radar-centric ISAC; LFM-PSK integrated waveform; Trade-off: Increasing data rate improves PSLR but compromises CRLB (range accuracy); Metrics (PSLR, MSE) normalized by unmodulated LFM performance.","Experimental setup; Photonics-assisted (ECL, PM, WSS, IQ-MOD, UTC-PD); 12.6 dBm (3 mA) input power to UTC-PD.",Experimental proof-of-concept (B2B and 1m wireless); Compared LFM-PSK (0-6 Gbit/s) vs LFM-ASK; Validated theoretical PSLR/CRLB analysis.,Short 1m LOS link; Static targets; Lab environment (no atmospheric effects).,PSLR and range estimation MSE are normalized by the unmodulated LFM waveform performance.,"[C7] p4, p5 ""Fig. 4. Schematic..."" [C7] p1, p4 ""330 GHz"" [C7] p4 ""ECL (1552 nm)"" [C7] p4 ""IQ-MOD"" [C7] p4 ""UTC-PD"" [C7] p4 ""Schottky mixer"" [C7] p4 ""THz-LNA""; [C8] p1 ""lack sufficient support in a complex environment with a strong target masking effect.""; [C4] p4 ""trade-off between radar and communication""; [C9] p2 ""LFM-PSK waveform"" [C9] p2 ""matched filter based on pulse compression theory"" [C9] p7 ""digital LFM carrier removal process""; [C10] p1, p6 ""range resolution of 1.3 cm"" [C10] p1, p6 ""PSLR of up to 20.9 dB"" [C10] p1, p7 ""data transmission of 6 Gbit/s"" [C10] p7 ""below the hard-decision forward error correction (HD-FEC) threshold""; [C11] p1 ""radar-centric waveform combining linear frequency modulation (LFM) waveform and phase shift keying (PSK)."" [C11] p1 ""~6 dB gain in the PSLR without any deterioration of range resolution is observed.""; [C12] p4 ""ECL (1552 nm""; [C13] p4 ""1 m line-of-sight (LOS) wireless link"" [C13] p6 ""back-to-back""; [C14] p6 ""non-ideal response of system components and interference from the environment.""; [C18] p2 ""radar-centric scenarios"" [C18] p2 ""embedding communication symbols"" [C18] p4 ""PSLR and the radar accuracy... are inversely proportional to its data rate."" [C18] p4 ""normalized by... unmodulated LFM waveform""; [C19] p4 ""Fig. 4. Schematic..."" [C19] p4 ""12.6 dBm constant input power to the UTC-PD, corresponding to a photocurrent of 3 mA.""; [C20] p4 ""proof-of-concept experiment"" [C20] p6 ""back-to-back and with 1 m LOS wireless transmission."" [C20] p8 ""conduct the wireless transmission of the LFM-ASK waveform""; [C21] p4 ""1 m... wireless link."" [C21] p6 ""both the transceiver and the targets standstill.""; [C22] p4 ""normalized by reference before being added."",Experimental demo of a 330 GHz photonic THz-ISAC system; Uses an LFM-PSK waveform (PSK embedded in LFM phase) to achieve 6 Gbit/s (BER < 7% HD-FEC) and 1.3 cm resolution / 20.9 dB PSLR over a 1m link.""",,,,,,,,,,,,,,,,,,,,,,,
rec_00009,A Wideband Reconfigurable Reflective Metasurface,Jiachen Du; Chi Hou Chan; Baiyang Liu; Qingfeng Zhang,2024,15th Global Symposium on Millimeter-Waves & Terahertz (GSMM),10.1109/GSMM61775.2024.10552921,"[C7: p.1, p.2] 1-bit reconfigurable reflective metasurface; 18x18 array; dual-patch unit cell; single PIN diode (MADP-000907-14020P) per cell; FPGA control.",[C8: p.1] Achieving wide operational bandwidth for 1-bit metasurfaces.,"[C9: p.1, p.3] 1-bit phase modulation (180°±30°); DC bias voltage control via FPGA.",[C10: p.1] Impedance BW: 55.8% (15.5-27.5 GHz); 3-dB Gain BW: 39.1%.,"[C11: p.1, p.3] Dual-patch unit cell with clover-shaped edges; uses PIN diode as inductor (ON) or capacitor (OFF) to achieve 180° phase shift; separation of two resonant points via dimension tuning.",,,,,,,[C18: p.1] Proposed as enabling hardware for ISAC (e.g. high-resolution radar imaging and sensing).,"[C19: p.1, p.2] 1-bit reconfigurable reflective metasurface... single PIN diode... FPGA control.","[C20: p.1, p.2, p.3] Simulation (CST Studio SUITE); Equivalent circuit analysis; Parameter study. [C20: p.3, TABLE II] Compared to 6 other 1-bit metasurface works...",[C21: p.1] Simulation-only; no experimental validation.,"[C22: p.3, TABLE II] Compared to 6 other 1-bit metasurface works in TABLE II.","[C7] p.1, p.2; [C8] p.1; [C9] p.1, p.3; [C10] p.1; [C11] p.1, p.3; [C18] p.1; [C20] p.1, p.2, p.3; [C21] p.1; [C22] p.3",[C24: p.1] Proposes a 1-bit reflective metasurface unit cell using a single PIN diode; Achieves 55.8% impedance bandwidth (15.5-27.5 GHz) and 39.1% 3-dB gain bandwidth in simulation; Intended for mmWave ISAC applications.,,,,,,,,,,,,,,,,,,,,,,
rec_00010,Near Field Computational Imaging with RIS Generated Virtual Masks,"Yuhua Jiang, Feifei Gao, Yimin Liu, Shi Jin, Tiejun Cui",2024,IEEE Wireless Communications and Networking Conference (WCNC),10.1109/WCNC57260.2024.10571000,"Single-antenna transmitter, holographic active RIS, 2D target, single-antenna receiver",Obstacle blocks Tx-Target path; Mitigating inherent ill-conditioning of the imaging inverse problem,Near-field imaging using RIS-generated virtual EM masks; Cross-correlation calculation; Tikhonov regularization for RIS design; Hadamard matrix for mask generation,Normalized Mean Square Error (NMSE); Key SNR points at 5 dB and 20 dB,Novel RIS-based imaging scheme using virtual EM masks; Converts inverse problem to a forward problem; Reduces computation complexity from O(M^3) to O(MI),10000000,"Simulation; Target in RIS near-field (z'=2, 4, 8 m); Receiver in target far-field (>50 m)",Thermal noise at the receiver,,,,Deployed in ISAC systems; Single-carrier communications scenario,Active RIS; Total amplification rate $P_I$; Bandwidth $B=1$ MHz,Simulation only; RIS sampling $N=128x128$; Target sampling $M=64x64$; Target image: 'the badge for Tsinghua University',Simulation only; No comparison to baseline imaging methods mentioned,Normalized Mean Square Error (NMSE) used as the performance criterion,"[C7] p1, p2; [C8] p1, p2; [C9] p1, p4, p5; [C10] p5; [C11] p1, p4; [C12] p5; [C13] p1, p2, p5; [C14] p5; [C18] p1; [C19] p2, p5; [C20] p1, p5, p6; [C21] p1; [C22] p5","Imaging quality (NMSE) improves with more measurements (I), higher SNR, and closer RIS-target distance (z'); Performance hits an error floor around 20 dB SNR due to mask non-orthogonality.",,,,,,,,,,,,,,,,,,,,,,
rec_00011,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,"Lyu, Z.; Zhang, L.; Zhang, H.; Yang, Z.; Yang, H.; Li, L.; Zhang, C.; Bobrovs, V.; Ozolins, O.; Pang, X.; Yu, X.",2024,JOURNAL OF LIGHTWAVE TECHNOLOGY,10.1109/JLT.2023.3344788,"[C7: p.1, p.4, p.5] Photonics-assisted THz-ISAC (300 GHz carrier); Tx: 1550 nm LD, IQ-MOD, UTC-PD (photomixing); Rx: Schottky mixer.",[C8: p.1] Synchronization preamble overhead in existing LFM-based ISAC systems.,"[C9: p.2, p.5] Dual-chirp LFM waveform (opposite slopes); Synchronization via matched filter; Sync pilot removal via LMS filter; QPSK modulation.","[C10: p.1, p.6, p.7] 20 Gbps data rate; 1.5 cm range resolution; 29.2 dB PSLR; EVM below 5% KP4-FEC limit (>8 dBm optical power); < 0.5% sync power overhead.","[C11: p.1] Preamble-free synchronization scheme using a quasi-orthogonal dual-chirp (up-chirp carrier, down-chirp sync pilot) waveform.",1550,[C13: p.4] 1.0; Line-of-sight (LOS) wireless link (lab/indoor).,[C14: p.4] Sync pilot interference.,,,,"[C18: p.4, p.8] Trade-off 1: Amplitude ratio ($\rho$) balances com SINR vs sync SNR; Trade-off 2: Data rate balances com EVM vs sensing PSLR.","[C19: p.1, p.8] < 0.5% synchronous power overhead.","[C20: p.1, p.7] Experimental proof-of-concept; Baseline comparison to traditional LFM-PSK and standard QPSK.",[C21: p.4] Short 1m link distance; Lab environment (no atmospheric effects).,,"[C7] p.1, p.4, p.5; [C8] p.1; [C9] p.2, p.5; [C10] p.1, p.6, p.7; [C11] p.1; [C12] p.4; [C13] p.4; [C14] p.4; [C18] p.4, p.8; [C19] p.1, p.8; [C20] p.1, p.7; [C21] p.4",[C24: p.1] 20 Gbps / 29.2 dB PSLR / 1.5 cm resolution achieved; Preamble-free sync using dual-chirp with <0.5% power overhead.,,,,,,,,,,,,,,,,,,,,,,
rec_00012,Energy-Efficient OIRS-Aided VLC Systems Employing ML-Based User Orientation and Obstacle Awareness,"Anand Singh, Haythem Bany Salameh, Moussa Ayyash, Hany Elgala",2024,IEEE SENSORS JOURNAL,10.1109/JSEN.2024.3476375,"[C7: p.1, p.2, p.3] Indoor VLC system; 4 LEDs (Tx) and 4 OIRS (Optical IRS) arrays (composed of mirrors) reflecting to UE (PD receiver).","[C8: p.1, p.3] LoS blockage by static (furniture) and dynamic (human) obstacles; Random UE orientation (not facing ceiling).","[C9: p.1, p.2, p.3] EE optimization framework; Jointly optimizes Tx power, offset management, modulation size; ML (linear regression) estimates optimal OIRS angles (yaw, roll); Dinkelbach method used...","[C10: p.5, p.7, p.8] Maximizes EE (bit/J) subject to min rate ($R_0$) and max BER ($BER_T$); Dinkelbach converges in 3 iterations; Dinkelbach ~1500x faster than quadratic transform baseline.","[C11: p.1, p.3, p.4] EE optimization framework for OIRS-aided VLC; ML-based OIRS angle prediction for obstacle/orientation awareness; Models static (MHCP) and dynamic (RWP) obstacles.",,"[C13: p.1, p.7] Indoor; Room size $5m \times 5m \times 3m$.","[C14: p.1, p.4] LoS blockage (occlusion) by static and dynamic obstacles; Random UE orientation; Shadowing.",,"[C16: p.3, p.5] ML model estimates optimal OIRS angles (yaw $\gamma$, roll $\omega$) based on received power profile and obstacle location.",,,"[C19: p.5, p.7] LED Tx power 200 mW; OIRS reflection coefficient 0.9; Considers circuit power $P_{c}^{OIRS}$ for orienting mirrors.","[C20: p.1, p.4, p.7, p.8] Simulation only... Obstacle models: static (MHCP) and dynamic (RWP); Baselines: quadratic transform algorithm, intra/inter-attocell mapping.","[C21: p.3, p.8] Simulation-only (""Hardware limitations currently hinder experimental validation""); ML model trained on simulation data.","[C22: p.7, p.8] Compares EE vs $P_{c}^{OIRS}$ (W); Compares Received Power (dBm) vs # IRS elements (N).","[C7] p.1, p.2, p.3; [C8] p.1, p.3; [C9] p.1, p.2, p.3; [C10] p.5, p.7, p.8; [C11] p.1, p.3, p.4; [C13] p.1, p.7; [C14] p.1, p.4; [C16] p.3, p.5; [C19] p.5, p.7; [C20] p.1, p.4, p.7, p.8; [C21] p.3, p.8; [C22] p.7, p.8",[C24: p.1] Proposes an EE framework for OIRS-aided indoor VLC; Uses ML (linear regression) to predict optimal OIRS mirror angles to overcome LoS blockage (static/dynamic) and random UE orientation.,,,,,,,,,,,,,,,,,,,,,,
