record_id,source_db,status,decided_by,decided_at,stage,decision,automation_flag,title,authors,doi_or_id,year,screening_score
rec_00001,Elicit,screened,reviewer,2025-10-06 18:21:39.137537,tiab,Include,manual,Joint Beamforming and Power Control for D2D-Assisted Integrated Sensing and Communication Networks,"Zhenyu Xue, Yuang Chen, Hancheng Lu, Baolin Chong, Wanqing Long",10.1109/globecom52923.2024.10901750,-,2.5
rec_00002,Elicit,screened,reviewer,2025-10-06 18:21:39.137537,tiab,Include,manual,Integrated Sensing and Communications With Mixed Fields Using Transmit Beamforming,"Yun Xiao, Enhao Wa, Yunfei Chen, Li Chen, Aissa Ikhlef, Hongjian Sun, Enhao Wang",10.1109/lwc.2024.3521186,-,2.7
rec_00003,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,"Waveform Design for Integrated Radar, Communication and Identification Towards Low-Altitude Economy","Qi Cheng, Yanjie Ji, Xuezhou Yang, Li Zhou, Junping Wang",10.1109/icwoc65853.2025.11151123,-,2.7
rec_00004,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Precoding for Multi-Cell ISAC: From Coordinated Beamforming to Coordinated Multipoint and Bi-Static Sensing,"Nithin Babu, Christos Masouros, Constantinos B Papadias, Yonina C Eldar",10.1109/twc.2024.3417713,2024,2.5
rec_00005,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,SDOA-Net: An Efficient Deep-Learning-Based DOA Estimation Network for Imperfect Array,"Peng Chen, Zhimin Chen, Liang Liu, Yun Chen, Xianbin Wang",10.1109/tim.2024.3391338,-,2.5
rec_00006,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,"Quantum Information Processing, Sensing, and Communications: Their Myths, Realities, and Futures","Lajos Hanzo, Zunaira Babar, Daryus Chand, Ivan B Djordjevic, Balint Koczor, Soon Xin, Mohsen Razavi, Osvaldo Simeone, Soon-Xin Ng, K Zhenyu, K Daryus, K Mohsen Razavi",10.1109/jproc.2024.3510394,-,1.4
rec_00007,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,UAV Detection Based on the Variance of Higher-Order Cumulants,"Shihai Shao, Nanzhou Hu, Wensheng Pan, Qiang Xu, Youxi Tang, Jian Yang",,2024,0.1
rec_00008,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Radar-Centric Photonic Terahertz Integrated Sensing and Communication System Based on LFM-PSK Waveform,"Zhidong Lyu, Lu Zhan, Hongqi Zhang, Zuomin Yan, Hang Yang, Nan Li, Lianyi Li, Vjačesla Bobrovs, Oskars Ozolin, Xiaodan Pang, Xianbin Yu, Lu Zhang, Zuomin Yang, Oskars Ozolins",10.1109/tmtt.2023.3267546,-,2.7
rec_00009,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,A Wideband Reconfigurable Reflective Metasurface,"Jiachen Du, Chi Hou Chan, Baiyang Liu, Qingfeng Zhang",10.1109/gsmm61775.2024.10552921,-,2.7
rec_00010,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Near Field Computational Imaging with RIS Generated Virtual Masks,"Yuhua Jiang, Feifei Gao, Yimin Liu, Shi Jin, Tiejun Cui",10.1109/wcnc57260.2024.10571000,-,2.9
